Raw file	Experiment	Fraction	Enzyme	Enzyme mode	Enzyme first search	Enzyme mode first search	Use enzyme first search	Variable modifications	Multi modifications	Variable modifications first search	Use variable modifications first search	Requantify	Multiplicity	Max. missed cleavages	Labels0	LC-MS run type	Time-dependent recalibration	MS	MS/MS	MS3	MS/MS Submitted	MS/MS Submitted (SIL)	MS/MS Submitted (ISO)	MS/MS Submitted (PEAK)	MS/MS Identified	MS/MS Identified (SIL)	MS/MS Identified (ISO)	MS/MS Identified (PEAK)	MS/MS Identified [%]	MS/MS Identified (SIL) [%]	MS/MS Identified (ISO) [%]	MS/MS Identified (PEAK) [%]	Peptide Sequences Identified	Peaks	Peaks Sequenced	Peaks Sequenced [%]	Peaks Repeatedly Sequenced	Peaks Repeatedly Sequenced [%]	Isotope Patterns	Isotope Patterns Sequenced	Isotope Patterns Sequenced (z>1)	Isotope Patterns Sequenced [%]	Isotope Patterns Sequenced (z>1) [%]	Isotope Patterns Repeatedly Sequenced	Isotope Patterns Repeatedly Sequenced [%]	Recalibrated	Av. Absolute Mass Deviation [ppm]	Mass Standard Deviation [ppm]	Av. Absolute Mass Deviation [mDa]	Mass Standard Deviation [mDa]	Label free norm param
01698_D05_P018021_S00_N36_R1	P018021	36	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		19685	36354	0	58516	14192	0	44324	397	386	0	11	0.68	2.72	NaN	0.02	263	1850530	28192	1.52	1034	3.67	90456	12482	11937	13.8	16.27	1597	12.79	+	0.6662	0.88229	0.447	0.63646	
01698_C05_P018021_S00_N35_R1	P018021	35	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		20514	33932	0	57649	10211	0	47438	209	206	0	3	0.36	2.02	NaN	0.01	141	1895817	24849	1.31	1010	4.06	78654	8893	8352	11.31	13.78	1216	13.67	+	0.57056	0.75384	0.40221	0.5773	
01698_B05_P018021_S00_N34_R1	P018021	34	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		18722	39252	0	65962	12542	0	53420	345	330	0	15	0.52	2.63	NaN	0.03	217	1860289	29291	1.57	1178	4.02	82564	10853	10153	13.14	15.57	1550	14.28	+	0.77764	0.93905	0.53901	0.68395	
01698_A05_P018021_S00_N33_R1	P018021	33	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		16700	45289	0	76460	14118	0	62342	537	517	0	20	0.7	3.66	NaN	0.03	341	1758215	33608	1.91	1413	4.2	80016	12229	11530	15.28	17.88	1722	14.08	+	0.89418	1.1363	0.66198	0.91037	
01698_H04_P018021_S00_N32_R1	P018021	32	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		15410	49246	0	84078	14412	0	69666	783	740	0	43	0.93	5.13	NaN	0.06	522	1748800	37432	2.14	1619	4.33	77700	12475	11564	16.06	18.58	1686	13.52	+	0.87977	1.1256	0.66612	0.90771	
01698_G04_P018021_S00_N31_R1	P018021	31	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		15200	49564	0	83692	15436	0	68256	1039	987	0	52	1.24	6.39	NaN	0.08	633	1781331	38351	2.15	1448	3.78	82208	13474	12601	16.39	18.78	1767	13.11	+	0.87843	1.1385	0.65713	0.90652	
01698_F04_P018021_S00_N30_R1	P018021	30	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		15612	48326	0	80419	16233	0	64186	990	950	0	40	1.23	5.85	NaN	0.06	624	1577541	37865	2.4	1336	3.53	73992	14190	13287	19.18	21.83	1846	13.01	+	0.82837	1.0389	0.60749	0.80185	
01698_E04_P018021_S00_N29_R1	P018021	29	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		16060	47109	0	77238	16978	0	60260	933	887	0	46	1.21	5.22	NaN	0.08	576	1513811	37218	2.46	1486	3.99	71832	14657	13778	20.4	23.41	2099	14.32	+	0.88946	1.1201	0.64652	0.86077	
01698_D04_P018021_S00_N28_R1	P018021	28	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		15609	48227	0	77651	18803	0	58848	1237	1166	0	71	1.59	6.2	NaN	0.12	758	1569651	38608	2.46	1483	3.84	80007	16242	15440	20.3	22.84	2280	14.04	+	0.89464	1.1462	0.66964	0.92003	
01698_C04_P018021_S00_N27_R1	P018021	27	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		15721	47946	0	77101	18791	0	58310	1393	1311	0	82	1.81	6.98	NaN	0.14	869	1552681	38683	2.49	1417	3.66	79321	16355	15521	20.62	23.08	2218	13.56	+	0.86881	1.1093	0.63011	0.84808	
