,Intensity P010693,Intensity P010694,Intensity P010695,Intensity P010738,Intensity P010739,Intensity P010740,Intensity P013127,Intensity P018020,Intensity P018021
ENSP00000000233.5;ENSP00000412701.1;ENSP00000446353.1;ENSP00000420655.1,-0.7839993990602391,2.36037144037818,-0.5963698003053317,2.2149205068461,2.13700175359757,2.76881365165195,0.28824471677194835,-0.359078261274036,-2.2216483115259207
ENSP00000000412.3;ENSP00000440488.2;ENSP00000441030.1;ENSP00000440962.1;ENSP00000442100.1;ENSP00000444684.1;ENSP00000437595.1;ENSP00000442983.1,0.44762516559971,-4.351404314468186,-0.418663664665871,-2.58027872288898,-1.692693230023885,0.387071529806118,0.840945283784666,-1.78909740580957,-1.8042879651585682
ENSP00000001008.4;ENSP00000438491.1;ENSP00000446368.1;ENSP00000486800.1;ENSP00000439703.1,2.5026014541554846,3.33826372474077,1.0814494520184652,0.6720572137041221,4.21560843675996,2.85241907309317,0.16256220270161864,3.57425019518958,1.9743232082279039
ENSP00000002125.4;ENSP00000394436.1;ENSP00000399207.1;ENSP00000402959.1;ENSP00000410181.1;ENSP00000412942.1;ENSP00000416594.1,-2.9506793415522923,-2.62527487866566,-4.95826763259284,-2.5088729157119642,-2.5593834873181,-2.87930505616948,-2.5804624607797555,-1.12068076553939,-0.7517173320171036
ENSP00000002165.5;ENSP00000398119.1,-2.4947166275102157,-5.69775180140112,-2.48918785440985,1.27380772857579,-2.77338749790408,-3.23966025014331,0.0641637018590941,-2.38553696924892,-3.2805914113946386
ENSP00000003100.8;ENSP00000406757.1;ENSP00000394268.1;ENSP00000412536.1,-0.414665036188865,-0.2426621544003,-4.02173740225116,-1.263156572030142,-3.44627642329222,-0.179057482708856,-1.9550608025989156,-2.1292279672538683,-1.0893579940949434
ENSP00000003302.4;ENSP00000445743.1;ENSP00000444991.1;ENSP00000442431.1;ENSP00000441513.1;ENSP00000440799.1;ENSP00000442257.1;ENSP00000437688.1;ENSP00000438050.1;ENSP00000446284.1,-3.27632083333911,-3.57960499306762,-1.885522991963836,-2.13726098880636,-2.8872895318528102,-1.96767407651608,-3.7979337230607952,-2.636084470647038,-0.9423949573090585
ENSP00000468057.1;ENSP00000004982.3;ENSP00000467169.1,8.70263640386964,5.45035091402832,3.53282798162157,2.75630465008311,8.07657757888971,6.02052295952089,1.5571787056569193,-1.50228067895261,0.669069767492996
ENSP00000005178.5,-5.35717037445875,-4.7050977901214655,-2.4015990601370287,-1.39030504641506,-2.13797494271343,-4.30202769197629,-0.0688601528325243,1.5271626508913483,-0.09114175648075609
ENSP00000005257.2;ENSP00000413227.1;ENSP00000388975.1,0.3333107658106666,-0.85814037675339,-0.2105297475045802,2.2980025425595136,-0.891676029139006,0.0109648835071354,0.515263659448166,0.141332442316472,-1.0188231947098612
