"","Intensity P010693","Intensity P010694","Intensity P010695","Intensity P010738","Intensity P010739","Intensity P010740","Intensity P013127","Intensity P018020","Intensity P018021"
"ENSP00000000233.5;ENSP00000412701.1;ENSP00000446353.1;ENSP00000420655.1",0.895966332184464,2.36037144037818,0.352869126025109,2.2149205068461,2.13700175359757,2.76881365165195,2.17218277395417,-0.359078261274036,-2.31318296691256
"ENSP00000000412.3;ENSP00000440488.2;ENSP00000441030.1;ENSP00000440962.1;ENSP00000442100.1;ENSP00000444684.1;ENSP00000437595.1;ENSP00000442983.1",0.44762516559971,1.10124578376377,-0.418663664665871,-2.58027872288898,-2.16660594811354,0.387071529806118,0.840945283784666,-1.78909740580957,-0.595345868739159
"ENSP00000001008.4;ENSP00000438491.1;ENSP00000446368.1;ENSP00000486800.1;ENSP00000439703.1",2.35575907283706,3.33826372474077,3.99403384745625,5.21653138194165,4.21560843675996,2.85241907309317,4.60504601002181,3.57425019518958,3.80346830047655
"ENSP00000002125.4;ENSP00000394436.1;ENSP00000399207.1;ENSP00000402959.1;ENSP00000410181.1;ENSP00000412942.1;ENSP00000416594.1",NA,-2.62527487866566,NA,NA,-2.5593834873181,-2.87930505616948,-0.541685018446998,-1.12068076553939,0.373534154394296
"ENSP00000002165.5;ENSP00000398119.1",NA,NA,-2.48918785440985,1.27380772857579,-2.77338749790408,-3.23966025014331,0.0641637018590941,-2.38553696924892,NA
"ENSP00000003100.8;ENSP00000406757.1;ENSP00000394268.1;ENSP00000412536.1",-0.414665036188865,-0.2426621544003,NA,1.51702000330641,-3.44627642329222,-0.179057482708856,1.01365231316488,-1.81069234622709,NA
"ENSP00000003302.4;ENSP00000445743.1;ENSP00000444991.1;ENSP00000442431.1;ENSP00000441513.1;ENSP00000440799.1;ENSP00000442257.1;ENSP00000437688.1;ENSP00000438050.1;ENSP00000446284.1",NA,-3.57960499306762,NA,NA,0.809571954885602,-1.96767407651608,-2.95222402546612,NA,-2.64715496363916
"ENSP00000468057.1;ENSP00000004982.3;ENSP00000467169.1",8.70263640386964,5.45035091402832,3.53282798162157,2.75630465008311,8.07657757888971,6.02052295952089,2.53504369281737,-1.50228067895261,0.669069767492996
"ENSP00000005178.5",NA,NA,-1.968223658396,-1.39030504641506,-2.13797494271343,NA,-0.0688601528325243,NA,NA
"ENSP00000005257.2;ENSP00000413227.1;ENSP00000388975.1",-1.5810993078108,-0.85814037675339,0.868512927669531,-1.77586075715926,-0.891676029139006,0.0109648835071354,0.515263659448166,0.141332442316472,0.573884243818366
"ENSP00000368412.2;ENSP00000005259.4;ENSP00000418993.1;ENSP00000409350.1;ENSP00000419681.1;ENSP00000414164.2;ENSP00000418816.1;ENSP00000390733.1;ENSP00000395828.1",3.02320736993773,-0.878823163131944,0.970006074890726,NA,0.655748871059554,1.25852698628412,2.4386503095467,1.19041775907188,2.16349310939589
"ENSP00000005260.8",-2.98034563505115,-2.12112325597818,-1.28460637089185,1.95400259158857,0.525335910762735,-1.62206612432438,-2.22326879216127,-1.88262364501094,-1.95689105856724
"ENSP00000405823.2;ENSP00000005286.4;ENSP00000437848.1",2.77616911989229,7.20130258211843,0.639098869144316,NA,-2.24201848018067,-2.04003020873741,NA,-3.27795061340584,NA
"ENSP00000005340.4;ENSP00000459797.1;ENSP00000459991.1;ENSP00000458209.1;ENSP00000458465.1",0.319295205094697,-2.06021456238311,NA,-2.44497042193944,0.350495245347119,0.37466881843433,NA,-1.14265001564977,0.347396263352817
"ENSP00000005386.3;ENSP00000370024.4;ENSP00000401823.3",-1.84905980817602,1.30850570386218,0.0791763352510237,-0.163138475765386,1.43277561252058,-0.320899801870993,-1.59966555964732,0.490655861156203,1.68871042555898
"ENSP00000005587.2;ENSP00000408163.1",1.6361988876735,1.36099000103433,-0.677854624750637,-0.945315925424048,-2.01407718694874,-1.12528963483024,NA,NA,NA
"ENSP00000006526.6;ENSP00000406606.1;ENSP00000387236.1",-1.81230632241136,-3.58737234823174,NA,NA,NA,-3.30780197694573,NA,2.15859062946114,-0.446322581352518
"ENSP00000489591.1;ENSP00000348878.4;ENSP00000006658.6;ENSP00000483295.1;ENSP00000489476.1;ENSP00000425271.1;ENSP00000424538.1",-1.48942451521709,-2.1016691884189,NA,-0.655963712044116,0.902242821579712,-2.24633140271383,-1.22468042029493,-0.509472886034857,NA
